,np1,np2,np_sum,real_sum,now_prc,prf1,prf2,prf,time
117,0.0,0.0,0.0,0.0,53528.3,0.0,0.0,0.0,142749
118,0.0,0.0,0.0,0.0,53528.9,0.0,0.0,0.0,142750
119,0.0,0.0,0.0,0.0,53539.8,0.0,0.0,0.0,142751
120,0.0,0.0,0.0,0.0,53565.4,0.0,0.0,0.0,142752
121,0.0,0.0,0.0,0.0,53610.4,0.0,0.0,0.0,142753
122,0.0,0.0,0.0,0.0,53610.4,0.0,0.0,0.0,142754
123,0.0,0.0,0.0,0.0,53610.7,0.0,0.0,0.0,142755
124,0.0,0.0,0.0,0.0,53605.5,0.0,0.0,0.0,142755
125,0.0,0.0,0.0,0.0,53600.5,0.0,0.0,0.0,142756
126,0.0,0.0,0.0,0.0,53581.7,0.0,0.0,0.0,142757
127,0.0,0.0,0.0,0.0,53580.4,0.0,0.0,0.0,142758
128,0.0,0.0,0.0,0.0,53560.3,0.0,0.0,0.0,142758
129,0.0,0.0,0.0,0.0,53545.6,0.0,0.0,0.0,142759
130,0.0,0.0,0.0,0.0,53553.8,0.0,0.0,0.0,142800
131,0.0,0.0,0.0,0.0,53553.8,0.0,0.0,0.0,142801
132,0.0,0.0,0.0,0.0,53575.2,0.0,0.0,0.0,142801
133,0.0,0.0,0.0,0.0,53575.8,0.0,0.0,0.0,142802
134,0.0,0.0,0.0,0.0,53582.3,0.0,0.0,0.0,142803
135,0.0,0.0,0.0,0.0,53574.0,0.0,0.0,0.0,142804
136,0.0,0.0,0.0,0.0,53600.0,0.0,0.0,0.0,142805
137,0.0,0.0,0.0,0.0,53615.8,0.0,0.0,0.0,142805
138,0.0,0.0,0.0,0.0,53613.7,0.0,0.0,0.0,142806
139,0.0,0.0,0.0,0.0,53613.7,0.0,0.0,0.0,142807
140,0.0,0.0,0.0,0.0,53610.9,0.0,0.0,0.0,142807
141,0.0,0.0,0.0,0.0,53609.9,0.0,0.0,0.0,142808
142,0.0,0.0,0.0,0.0,53591.6,0.0,0.0,0.0,142809
143,0.0,0.0,0.0,0.0,53590.6,0.0,0.0,0.0,142809
144,0.0,0.0,0.0,0.0,53567.1,0.0,0.0,0.0,142810
145,0.0,0.0,0.0,0.0,53551.9,0.0,0.0,0.0,142811
146,0.0,0.0,0.0,0.0,53550.3,0.0,0.0,0.0,142812
147,0.0,0.0,0.0,0.0,53544.6,0.0,0.0,0.0,142813
148,0.0,0.0,0.0,0.0,53553.6,0.0,0.0,0.0,142813
149,0.0,0.0,0.0,0.0,53530.5,0.0,0.0,0.0,142814
150,0.0,0.0,0.0,0.0,53525.4,0.0,0.0,0.0,142815
151,0.0,0.0,0.0,0.0,53522.6,0.0,0.0,0.0,142816
152,0.0,0.0,0.0,0.0,53518.8,0.0,0.0,0.0,142816
153,0.0,0.0,0.0,0.0,53535.4,0.0,0.0,0.0,142817
154,0.0,0.0,0.0,0.0,53525.4,0.0,0.0,0.0,142818
155,0.0,0.0,0.0,0.0,53525.5,0.0,0.0,0.0,142819
156,0.0,0.0,0.0,0.0,53580.4,0.0,0.0,0.0,142819
157,0.0,0.0,0.0,0.0,53576.9,0.0,0.0,0.0,142820
158,0.0,0.0,0.0,0.0,53567.0,0.0,0.0,0.0,142821
159,0.0,0.0,0.0,0.0,53566.5,0.0,0.0,0.0,142822
160,0.0,0.0,0.0,0.0,53555.2,0.0,0.0,0.0,142823
